OrderID,OrderDate,Category,SubCategory,Product,Region,Salesperson,Quantity,UnitPrice,Discount,TotalSales,Profit,CustomerSegment,ShipMode
1030,2023-04-05,Furniture,Chairs,Task Chair,West,Bob,7,185.00,0.10,1165.50,233.10,Small Business,Standard
1031,2023-04-08,Office Supplies,Paper,Copy Paper Ream,North,Carol,15,8.99,0.00,134.85,26.97,Small Business,Standard
1032,2023-04-12,Electronics,Tablets,Pro Tablet 12,South,Dave,2,899.00,0.00,1798.00,359.60,Corporate,Express
1033,2023-04-15,Clothing,Tops,Formal Blouse,East,Alice,10,40.00,0.05,380.00,76.00,Consumer,Standard
1034,2023-04-18,Furniture,Desks,Executive Desk,West,Bob,2,1100.00,0.05,2090.00,418.00,Corporate,Standard
1035,2023-04-22,Office Supplies,Folders,Hanging Folders,North,Carol,20,4.25,0.00,85.00,17.00,Small Business,Standard
1036,2023-04-25,Electronics,Monitors,Curved Monitor,South,Dave,3,649.00,0.05,1849.65,369.93,Corporate,Express
1037,2023-05-01,Clothing,Bottoms,Chino Pants,East,Alice,12,60.00,0.10,648.00,129.60,Consumer,Standard
1038,2023-05-05,Furniture,Sofas,2-Seat Sofa,West,Bob,1,1500.00,0.00,1500.00,300.00,Corporate,Standard
1039,2023-05-08,Electronics,Phones,Flagship Phone Z1,North,Carol,4,1099.00,0.05,4176.20,835.24,Consumer,Express
1040,2023-05-12,Office Supplies,Staples,Heavy Duty Stapler,South,Dave,8,18.00,0.00,144.00,28.80,Small Business,Standard
1041,2023-05-15,Electronics,Computers,Mini PC,East,Alice,5,699.00,0.05,3320.25,664.05,Small Business,Express
1042,2023-05-18,Furniture,Chairs,Drafting Chair,West,Bob,3,275.00,0.10,742.50,148.50,Corporate,Standard
1043,2023-05-22,Clothing,Accessories,Watch Classic,North,Carol,6,120.00,0.00,720.00,144.00,Consumer,Standard
1044,2023-05-25,Office Supplies,Pens,Ballpoint 10pk,South,Dave,40,2.99,0.00,119.60,23.92,Small Business,Standard
1045,2023-06-01,Electronics,Tablets,Drawing Tablet,East,Alice,2,599.00,0.05,1137.10,227.42,Consumer,Express
1046,2023-06-05,Furniture,Desks,Corner Desk,West,Bob,2,799.00,0.10,1438.20,287.64,Corporate,Standard
1047,2023-06-08,Office Supplies,Paper,Premium Paper,North,Carol,12,18.00,0.00,216.00,43.20,Corporate,Standard
1048,2023-06-12,Electronics,Monitors,Portable Monitor,South,Dave,4,299.00,0.05,1136.20,227.24,Consumer,Standard
1049,2023-06-15,Clothing,Tops,Graphic Tee,East,Alice,25,18.00,0.15,382.50,76.50,Consumer,Standard
1050,2023-06-18,Furniture,Sofas,L-Shape Sofa,West,Bob,1,2800.00,0.00,2800.00,560.00,Corporate,Standard
1051,2023-06-22,Electronics,Phones,Mid-Range Phone M3,North,Carol,6,499.00,0.05,2844.30,568.86,Consumer,Standard
1052,2023-06-25,Office Supplies,Folders,Binder Set,South,Dave,15,7.50,0.00,112.50,22.50,Small Business,Standard
1053,2023-07-02,Clothing,Bottoms,Shorts,East,Alice,18,25.00,0.10,405.00,81.00,Consumer,Standard
1054,2023-07-05,Electronics,Computers,Laptop Budget,West,Bob,4,799.00,0.05,3036.20,607.24,Consumer,Express
1055,2023-07-08,Furniture,Chairs,Mesh Office Chair,North,Carol,5,320.00,0.10,1440.00,288.00,Corporate,Standard
1056,2023-07-12,Office Supplies,Staples,Staple Remover,South,Dave,20,3.25,0.00,65.00,13.00,Small Business,Standard
1057,2023-07-15,Electronics,Tablets,E-Reader,East,Alice,7,179.00,0.05,1191.35,238.27,Consumer,Standard
1058,2023-07-18,Furniture,Desks,Adjustable Desk,West,Bob,3,1250.00,0.05,3562.50,712.50,Corporate,Express
1059,2023-07-22,Clothing,Accessories,Sunglasses,North,Carol,10,55.00,0.10,495.00,99.00,Consumer,Standard
1060,2023-07-25,Office Supplies,Pens,Fountain Pen,South,Dave,5,28.00,0.00,140.00,28.00,Corporate,Standard
1061,2023-08-01,Electronics,Monitors,Ultrawide Monitor,East,Alice,2,999.00,0.05,1898.10,379.62,Corporate,Express
1062,2023-08-05,Furniture,Sofas,Loveseat,West,Bob,2,950.00,0.10,1710.00,342.00,Consumer,Standard
1063,2023-08-08,Electronics,Phones,Rugged Phone R2,North,Carol,3,449.00,0.05,1279.65,255.93,Small Business,Standard
1064,2023-08-12,Clothing,Tops,Summer Blouse,South,Dave,15,30.00,0.15,382.50,76.50,Consumer,Standard
1065,2023-08-15,Office Supplies,Paper,Legal Pads 12pk,East,Alice,10,14.50,0.00,145.00,29.00,Corporate,Standard
1066,2023-08-18,Electronics,Computers,All-in-One PC,West,Bob,2,1299.00,0.00,2598.00,519.60,Corporate,Express
1067,2023-08-22,Furniture,Chairs,Recliner Chair,North,Carol,1,799.00,0.10,719.10,143.82,Consumer,Standard
1068,2023-08-25,Office Supplies,Folders,Portfolio Folder,South,Dave,8,12.00,0.00,96.00,19.20,Corporate,Standard
1069,2023-09-01,Clothing,Bottoms,Yoga Pants,East,Alice,14,45.00,0.10,567.00,113.40,Consumer,Standard
1070,2023-09-05,Electronics,Tablets,Tablet Mini,West,Bob,5,399.00,0.05,1895.25,379.05,Consumer,Standard
1071,2023-09-08,Furniture,Desks,Writing Desk,North,Carol,3,380.00,0.10,1026.00,205.20,Small Business,Standard
1072,2023-09-12,Office Supplies,Staples,Tape Dispenser,South,Dave,12,6.99,0.00,83.88,16.78,Small Business,Standard
1073,2023-09-15,Electronics,Phones,Senior Phone S1,East,Alice,4,199.00,0.00,796.00,159.20,Consumer,Standard
1074,2023-09-18,Clothing,Accessories,Handbag,West,Bob,3,180.00,0.05,513.00,102.60,Consumer,Standard
1075,2023-09-22,Electronics,Monitors,Monitor 24in,North,Carol,6,279.00,0.05,1590.30,318.06,Small Business,Standard
1076,2023-09-25,Furniture,Sofas,Sectional Sofa,South,Dave,1,3500.00,0.00,3500.00,700.00,Corporate,Express
1077,2023-10-02,Office Supplies,Pens,Dry-Erase Markers,East,Alice,20,8.50,0.00,170.00,34.00,Corporate,Standard
1078,2023-10-05,Clothing,Tops,Hoodie,West,Bob,10,55.00,0.10,495.00,99.00,Consumer,Standard
1079,2023-10-08,Electronics,Computers,Chromebook,North,Carol,3,599.00,0.05,1707.15,341.43,Consumer,Standard
1080,2023-10-12,Furniture,Chairs,Kids Chair,South,Dave,6,125.00,0.00,750.00,150.00,Consumer,Standard
1081,2023-10-15,Office Supplies,Paper,Cardstock,East,Alice,15,22.00,0.00,330.00,66.00,Small Business,Standard
1082,2023-10-18,Electronics,Tablets,Tablet HD,West,Bob,3,549.00,0.10,1482.30,296.46,Consumer,Express
1083,2023-10-22,Clothing,Bottoms,Leggings,North,Carol,20,28.00,0.15,476.00,95.20,Consumer,Standard
1084,2023-10-25,Furniture,Desks,Floating Desk,South,Dave,4,320.00,0.10,1152.00,230.40,Small Business,Standard
1085,2023-11-01,Electronics,Phones,Phablet P1,East,Alice,2,899.00,0.05,1708.10,341.62,Consumer,Express
1086,2023-11-05,Office Supplies,Folders,Accordion Folder,West,Bob,10,9.75,0.00,97.50,19.50,Small Business,Standard
1087,2023-11-08,Electronics,Monitors,Touchscreen Monitor,North,Carol,2,1199.00,0.05,2278.10,455.62,Corporate,Express
1088,2023-11-12,Clothing,Accessories,Scarf,South,Dave,15,22.00,0.00,330.00,66.00,Consumer,Standard
1089,2023-11-15,Furniture,Sofas,Futon,East,Alice,2,650.00,0.10,1170.00,234.00,Consumer,Standard
1090,2023-11-18,Office Supplies,Staples,Binder Clips,West,Bob,30,2.50,0.00,75.00,15.00,Small Business,Standard
1091,2023-11-22,Electronics,Computers,Server Entry,North,Carol,1,2999.00,0.00,2999.00,599.80,Corporate,Express
1092,2023-11-25,Clothing,Tops,Thermal Shirt,South,Dave,12,32.00,0.10,345.60,69.12,Consumer,Standard
1093,2023-12-01,Furniture,Chairs,Rocking Chair,East,Alice,2,275.00,0.05,522.50,104.50,Consumer,Standard
1094,2023-12-05,Electronics,Tablets,Tablet Lite,West,Bob,8,229.00,0.05,1740.40,348.08,Consumer,Standard
1095,2023-12-08,Office Supplies,Pens,Calligraphy Set,North,Carol,6,15.00,0.00,90.00,18.00,Consumer,Standard
1096,2023-12-12,Clothing,Bottoms,Holiday Skirt,South,Dave,8,42.00,0.15,285.60,57.12,Consumer,Standard
1097,2023-12-15,Electronics,Monitors,4K Monitor 32in,East,Alice,2,799.00,0.05,1518.10,303.62,Corporate,Express
1098,2023-12-18,Furniture,Desks,Holiday Desk Set,West,Bob,3,550.00,0.10,1485.00,297.00,Corporate,Standard
1099,2023-12-22,Electronics,Phones,Holiday Bundle,North,Carol,5,599.00,0.05,2845.25,569.05,Consumer,Express
1100,2023-12-28,Office Supplies,Paper,Holiday Card Set,South,Dave,25,6.00,0.00,150.00,30.00,Consumer,Standard
